H1,H3,ER1,ER3,TD1,TD3,H2,W,S,EDW,SIGMA,H,FNAME,Z0SE(1_SE),S0SE(1_SE),KBSENB(1_1),KFSENB(1_1),A(1_1)
6.6782,11.808,4.5187,3.7015,0.045495,0.010168,2.2792,4.8822,28.355,0.50259,5.00E+07,15,SPIMDL00069.TAB,52.227846967080204,1.4801027665962175E8,0.0029086439459759163,-3.292686200818915E-12,0.40278104406847315
6.7247,6.8194,3.6677,3.6968,0.0032476,0.033408,0.42215,3.0481,8.4045,0.068877,5.00E+07,15,SPIMDL00070.TAB,66.88068730960495,1.5621105554706338E8,0.035781313183867985,-7.767662882181333E-13,0.5048381470483676
4.2066,4.3618,4.3243,4.1547,0.028297,0.033659,1.9039,8.4266,25.725,0.73463,5.00E+07,15,SPIMDL00071.TAB,27.090324165277256,1.457075672697093E8,6.680080650531476E-5,-1.8104840632714572E-14,0.6597146713008823
3.8023,3.9284,3.4825,4.3977,0.030308,0.036218,0.36965,3.8282,18.009,0.41935,5.00E+07,15,SPIMDL00072.TAB,45.48844427407592,1.5076083161792147E8,1.7101440417470335E-4,7.554173856348853E-14,0.6929011289526096
5.2737,8.2482,4.0258,4.0946,0.030146,0.002971,0.80377,6.1041,33.55,0.15915,5.00E+07,15,SPIMDL00073.TAB,46.12161262314432,1.4881072201899067E8,1.1915056613902591E-4,1.4374753685143665E-14,0.20613856628641544
6.7029,7.8834,3.2061,4.6303,0.046643,0.026473,1.6667,7.5698,24.919,0.074901,5.00E+07,15,SPIMDL00074.TAB,40.336105900791566,1.507081952570772E8,0.0018606447290929898,2.3730022117930863E-12,0.6229282850887443
3.1142,5.8554,4.634,3.2092,0.035236,0.0029037,1.5583,5.792,6.7054,0.050277,5.00E+07,15,SPIMDL00075.TAB,34.045820359213025,1.5070277799354875E8,0.02249887280450601,-3.228345505050784E-11,0.2271336715788637
4.906,2.1973,4.4061,3.5202,0.032005,0.044806,1.7506,3.1748,3.2573,0.019382,5.00E+07,15,SPIMDL00076.TAB,35.76609686594655,1.5387408880676642E8,0.0728863264623012,-8.231281801193459E-12,0.7989346106298065
6.5868,12.335,4.4434,3.4273,0.0095531,0.00086571,2.1054,3.7707,16.594,0.25228,5.00E+07,15,SPIMDL00077.TAB,60.22328509382675,1.514658388505032E8,0.018937637870947467,-1.818243603176316E-11,0.06706650368349477
4.7776,10.286,4.6988,4.594,0.030341,0.013881,1.1844,3.6047,30.522,0.41271,5.00E+07,15,SPIMDL00078.TAB,52.127262518720904,1.3903717821320978E8,5.247148528118558E-4,-1.0789393986884987E-13,0.39747403874349324
5.7114,12.739,4.4477,3.6866,0.02991,0.0027537,1.6583,4.8712,20.013,0.62955,5.00E+07,15,SPIMDL00079.TAB,53.719700283556975,1.4825130368570757E8,0.007818187798969659,-7.626667324450972E-12,0.2086499794886264
2.7361,6.3886,3.2319,4.4145,0.036298,0.045141,2.0666,7.0082,22.65,0.46566,5.00E+07,15,SPIMDL00080.TAB,28.21862984265599,1.5513895901446298E8,3.190645282522245E-4,9.579291123575186E-13,0.8058261098050805
2.7012,11.606,4.441,4.014,0.0080195,0.0086135,2.2884,4.3538,7.0095,0.44455,5.00E+07,15,SPIMDL00081.TAB,38.11775921052285,1.4525578165225205E8,0.03987644042886795,-2.094029520278191E-11,0.18922151360796943
6.1436,8.6961,3.838,4.4622,0.031867,0.017607,1.6319,8.8802,15.818,0.16136,5.00E+07,15,SPIMDL00082.TAB,37.20970764324297,1.4721522478268343E8,0.009427796675386294,4.830526655068973E-12,0.43787346617024564
5.9131,3.4242,3.1883,3.9967,0.018498,0.025752,1.5906,5.2356,26.648,0.19393,5.00E+07,15,SPIMDL00083.TAB,38.02022523818229,1.5581060994919536E8,8.941025786726861E-5,-2.99683005397131E-14,0.4652284623773119
5.0987,11.106,4.6924,4.6815,0.03857,0.013525,0.628,8.5663,7.6513,0.48381,5.00E+07,15,SPIMDL00084.TAB,37.60033123593647,1.3846246236094925E8,0.03447328705690397,-1.0394467560075627E-12,0.43784373410855826
2.1359,2.7383,3.8344,3.8586,0.031833,0.014934,0.84763,6.3401,24.06,0.24796,5.00E+07,15,SPIMDL00085.TAB,24.150484745789104,1.5286292222227398E8,3.626142205351758E-7,1.7828875520259732E-15,0.38565419908464993
